"ID","odpoved","spravna","ID otázky","volba"
254,"Síťové zařízení, zajišťující obalení dat informacemi o odesílateli a příjemci (packing)",NEPRAVDA,"01-07","d"
255,"(Relativně malý) kus odesílaných/přijímaných dat",PRAVDA,"01-07","e"
256,"Jiný název pro konzumenta zpráv (v této roli vystupuje většinou prohlížeč)",NEPRAVDA,"01-07","a"
257,"Standardizovaná zpráva posílaná při sestavování síťového spojení (pro synchronizaci odesílatele/příjemce)",NEPRAVDA,"01-07","b"
258,"Nic takového neexistuje (nebo jsme se o tom alespoň nezmiňovali)",NEPRAVDA,"01-07","c"
259,"Verze 4.0 je finální verzí standardu HTML, další rozšíření uživatelského rozhraní bude realizováno technologií Flash",NEPRAVDA,"02-06","c"
260,"Do verze 4.0 přibývala s novými verzemi i řada nových značek, pak ale došlo k oddělení obsahu a formátování a stabilizaci standardní sady značek.",PRAVDA,"02-06","b"
261,"Jazyk HTML se kupodivu od svého vzniku co do počtu značek příliš neměnil (resp. až do příchodu XHTML, které přidalo řadu nových)",NEPRAVDA,"02-06","d"
262,"Vzhledem k tomu, že tvůrci stránek mohou používat vlastní značky (jako třeba <kniha>, <kapitola>), není možné sledovat trend vývoje jejich počtu.",NEPRAVDA,"02-06","a"
263,"<html>",PRAVDA,"02-07","a"
264,"<xhtml>",NEPRAVDA,"02-07","b"
265,"<body>",NEPRAVDA,"02-07","c"
266,"<xml>",NEPRAVDA,"02-07","d"
267,"Kořenový element není vždy stejný",NEPRAVDA,"02-07","e"
268,"Umožňuje oddělit formátování od obsahu dokumentu",PRAVDA,"03-06","b"
269,"Umožňuje dosáhnout úsporu času při změně vzhledu více dokumentů v rámci jedné prezentace",PRAVDA,"03-06","c"
270,"Podporuje sjednocení vzhledu stránek v jedné webové prezentaci",PRAVDA,"03-06","a"
271,"Může zmenšit velikost dat, stahovaných do prohlížeče (definice stylů může být uložena ve vyrovnávací paměti prohlížeče)",PRAVDA,"03-06","d"
272,"Vybere jen sudé řádky",NEPRAVDA,"03-07","b"
273,"Vybere jen liché řádky",NEPRAVDA,"03-07","a"
274,"Pokud některá z buněk obsahuje vnořenou tabulku, selektor již nevybere buňky této vnořené tabulky",PRAVDA,"03-07","e"
275,"Pokud některá z buněk obsahuje vnořenou tabulku, selektor vybere jen buňky této vnořené tabulky",NEPRAVDA,"03-07","c"
276,"Jedná se jen o jiný zápis, nemá vliv na význam selektoru",NEPRAVDA,"03-07","d"
277,"Sestavení textu stránky přímo v kódu programu",NEPRAVDA,"04-05","c"
278,"Sestavení stránky ze složitějších vizuálních komponent",NEPRAVDA,"04-05","b"
279,"Použití šablon stránek s možností vkládání dynamického obsahu",PRAVDA,"04-05","a"
280,"Žádný z uvedených",NEPRAVDA,"04-05","d"
281,"Controller",PRAVDA,"04-06","a"
282,"Modul pro zpracování výjimek",NEPRAVDA,"04-06","b"
283,"Šablony pro generování HTML stránek",PRAVDA,"04-06","c"
284,"Kód pro obsluhu webových služeb",NEPRAVDA,"04-06","d"
285,"Architektura MVC neurčuje rozdělení aplikace na části, jen způsob jejich komunikace",NEPRAVDA,"04-06","e"
286,"Zakládání, úprava a mazání databázových objektů (především tabulek)",PRAVDA,"05-05","b"
287,"Zakládání, úprava a mazání dat",NEPRAVDA,"05-05","a"
288,"Udržování více verzí struktury databáze (definice tabulek, ...)",PRAVDA,"05-05","c"
289,"Zjednodušení překladu aplikace do nového jazyka",NEPRAVDA,"05-05","d"
290,"Způsob zakládání testovacích dat",PRAVDA,"05-06","c"
291,"Předchůdce migrací",NEPRAVDA,"05-06","b"
292,"Vybrané ""zmrazené"" verze aplikací (kategorie alfa, beta, final, service pack)",NEPRAVDA,"05-06","a"
293,"Adaptéry pro přístup k aplikaci pomocí protokolu SOAP",NEPRAVDA,"05-06","d"
294,"přímým zadáním SQL dotazu",PRAVDA,"06-05","d"
295,"podle hodnoty kteréhokoliv atributu (metodami find_by_jmeno_atributu)",PRAVDA,"06-05","b"
296,"výběrem podobných objektů, pokud máme k dispozici vzorový existující objekt (tzv. Query By Example)",NEPRAVDA,"06-05","a"
297,"vlastním objektově-orientovaným vyhledávacím jazykem (RQL)",NEPRAVDA,"06-05","c"
298,"Vyvoláním výjimky ActiveRecord::ValidationException",NEPRAVDA,"06-06","a"
299,"Přidáním nové zprávy do pole chyb errors",PRAVDA,"06-06","b"
300,"K indikaci dojde automaticky, pokud selže porovnání",NEPRAVDA,"06-06","d"
301,"Tento typ validace můžeme použít jen společně s deklarativními validacemi (validates_presence_of apod.), samostatná indikace chyby proto nedává smysl.",NEPRAVDA,"06-06","c"
302,"Komunikace mezi akcemi, zde uložená zpráva může být vypsána na příští zobrazované stránce (může např. informovat uživatele o výsledku vyžádané operace)",PRAVDA,"08-07","a"
303,"Uložení informací pro aktuální uživatelské sezení (např. jméno a heslo přihlášeného uživatele)",NEPRAVDA,"08-07","b"
304,"Dlouhodobé uložení informací (přístupné i po restartu serveru)",NEPRAVDA,"08-07","c"
305,"Komunikace s Adobe Flash animacemi",NEPRAVDA,"08-07","d"
306,"Synchronizace času mezi klientem a serverem",NEPRAVDA,"08-07","e"
307,"Řízení je předáno Erb (případně i jiné) šabloně",PRAVDA,"08-08","c"
308,"Dojde k přesměrování uživatele na jiné URL (např. i jinou akci stejného controlleru)",PRAVDA,"08-08","b"
309,"Uživateli je odeslán dynamicky generovaný soubor",PRAVDA,"08-08","a"
310,"Uživateli je zobrazena chybová stránka (pokud v controlleru došlo k neošetřené chybě)",PRAVDA,"08-08","d"
311,"HTTP komunikace mezi klientem a službou",NEPRAVDA,"09-04","a"
312,"Formální registr dostupných služeb, ze kterého může klient služby automaticky vybírat",PRAVDA,"09-04","b"
313,"Popis rozhraní služby",NEPRAVDA,"09-04","c"
314,"Server, poskytující službu",NEPRAVDA,"09-04","d"
315,"Klient, konzumující službu",NEPRAVDA,"09-04","e"
316,"render :action => 'list'",PRAVDA,"08-09","b"
317,"Nemusíme explicitně uvádět žádný kód, tato šablona je použita automaticky",NEPRAVDA,"08-09","a"
318,"render",NEPRAVDA,"08-09","c"
319,"redirect :action => 'create', :to => 'list'",NEPRAVDA,"08-09","d"
320,"Kontrola správného vyplnění  HTML formulářů",PRAVDA,"10-04","b"
321,"Skriptování částí frameworku Ruby on Rails (např. konfigurace směrování požadavků)",NEPRAVDA,"10-04","a"
322,"Vytváření statických webových prezentací",NEPRAVDA,"10-04","c"
323,"Spolupráce webových služeb v rámci organizace (poprvé implementováno ve společnosti ECMA, odtud také název  ECMAscript)",NEPRAVDA,"10-04","d"
325,"3",PRAVDA,"10-05","b"
326,"4",PRAVDA,"10-05","a"
327,"null",PRAVDA,"10-05","c"
328,"2",NEPRAVDA,"10-05","d"
329,"onmouseover, onmouseout",PRAVDA,"11-06","e"
330,"onclick, onrelease",NEPRAVDA,"11-06","b"
331,"onmousedown, onmouseup",NEPRAVDA,"11-06","a"
332,"onchange, onload",NEPRAVDA,"11-06","c"
333,"onsubmit, onreset",NEPRAVDA,"11-06","d"
334,"element (Element)",PRAVDA,"11-07","b"
335,"atribut (Attribute)",PRAVDA,"11-07","a"
336,"text (Text)",PRAVDA,"11-07","c"
337,"nečíslovaný seznam (UnorderedList)",NEPRAVDA,"11-07","e"
338,"fragment Javascript kódu (JavaScript)",NEPRAVDA,"11-07","d"
339,"Při obdržení výsledku ze serveru není nutné překreslit celou stránku",PRAVDA,"12-04","d"
340,"Umožňuje poslat několik HTTP požadavků v rámci zobrazení jediné stránky",PRAVDA,"12-04","b"
341,"Stejnou funkčnost je možné implementovat za použití cca 50% řádek kódu",NEPRAVDA,"12-04","c"
342,"Nové verze prohlížečů (IE 8, Firefox 3) podporují již jen AJAX",NEPRAVDA,"12-04","a"
343,"Hodnota, zobrazovaná na stránce jako obyčejný text se po kliknutí změní na vstupní pole, jehož hodnotu je možné změnit",PRAVDA,"12-05","b"
344,"V seznamu objektů je možné jeden vybrat a formulář pro editaci jeho detailů se zobrazí v novém okně prohlížeče",NEPRAVDA,"12-05","a"
345,"K úpravě aktuální hodnoty dojde na databázovém serveru bez zobrazení dat uživateli",NEPRAVDA,"12-05","c"
346,"Při odeslání formuláře na server (stisk tlačítka submit) nejsou odesílány nezměněné/nevyžádané hodnoty",NEPRAVDA,"12-05","d"
347,"1",NEPRAVDA,"10-05","e"
348,"TCP (přenos paketů mezi klientem a serverem)",PRAVDA,"01-08","a"
349,"SMTP (odesílání e-mailových zpráv)",NEPRAVDA,"01-08","b"
